Ticket ID,Log Time,Resolution Time,Category,Description,Resolutions,MSISDN
T58842,2024-07-27 10:24:11,2024-07-28 19:24:11,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230131212541
T66370,2024-01-27 19:54:33,2024-01-30 03:54:33,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230764380110
T51999,2024-02-08 18:08:49,2024-02-09 03:08:49,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230286090141
T34047,2023-04-25 13:59:05,2023-04-26 05:59:05,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230277713469
T96182,2023-05-25 00:23:37,2023-05-26 01:23:37,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230292331082
T82496,2024-06-01 16:01:58,2024-06-03 14:01:58,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230175549082
T37291,2024-01-18 08:34:24,2024-01-21 08:34:24,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230865562600
T79176,2023-12-15 23:36:13,2023-12-16 00:36:13,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230578961856
T11631,2024-03-22 08:23:01,2024-03-22 20:23:01,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230548067772
T66602,2023-07-03 03:21:39,2023-07-06 03:21:39,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230988629670
T73410,2023-08-01 22:06:54,2023-08-04 17:06:54,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230491725711
T34917,2023-06-30 16:28:41,2023-07-02 02:28:41,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230877653565
T78689,2024-08-30 02:33:56,2024-08-31 22:33:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230270654265
T72990,2023-10-10 19:43:42,2023-10-12 22:43:42,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230678073159
T58946,2023-09-19 17:36:18,2023-09-20 21:36:18,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230206993428
T64442,2023-12-20 07:14:35,2023-12-21 04:14:35,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230206172868
T71274,2023-01-22 16:22:56,2023-01-23 05:22:56,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230530607842
T10006,2024-04-26 18:04:19,2024-04-28 23:04:19,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230823544998
T36477,2024-09-16 18:25:31,2024-09-17 23:25:31,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230108284824
T98705,2024-10-08 02:27:38,2024-10-10 19:27:38,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230325454471
T40586,2024-01-19 17:15:03,2024-01-22 01:15:03,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230696877696
T15297,2023-09-19 08:20:14,2023-09-20 05:20:14,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230865836147
T78788,2023-12-15 18:06:44,2023-12-15 20:06:44,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230805185257
T15855,2024-08-06 08:41:09,2024-08-07 07:41:09,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230531683554
T12563,2024-08-28 15:57:11,2024-08-29 08:57:11,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230952507106
T94448,2023-12-01 22:42:36,2023-12-04 15:42:36,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230260106137
T61778,2023-05-01 11:03:55,2023-05-03 04:03:55,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230838747192
T33698,2023-01-28 21:38:18,2023-01-30 06:38:18,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230737100009
T52046,2024-02-26 04:05:57,2024-02-28 03:05:57,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230894240000
T84494,2023-10-12 15:22:20,2023-10-13 01:22:20,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230865562600
T55112,2024-06-19 11:55:25,2024-06-22 03:55:25,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230636066934
T81079,2024-11-03 23:06:43,2024-11-04 01:06:43,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230350789665
T33641,2023-02-24 12:28:11,2023-02-25 07:28:11,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230302161434
T54818,2024-08-27 18:19:27,2024-08-30 00:19:27,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230237841298
T11733,2024-05-21 19:22:43,2024-05-23 19:22:43,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230286090141
T99622,2024-07-06 03:29:03,2024-07-08 04:29:03,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230929167854
T23801,2023-05-18 15:07:31,2023-05-19 15:07:31,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230191688658
T48758,2023-05-24 15:19:19,2023-05-24 18:19:19,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230694303636
T50639,2023-04-25 02:00:55,2023-04-25 09:00:55,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230798629373
T37623,2024-05-07 12:40:45,2024-05-08 04:40:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230300480073
T11776,2024-01-14 15:33:42,2024-01-16 14:33:42,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230544164977
T32572,2024-01-31 02:25:35,2024-02-03 02:25:35,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230538379054
T31390,2023-09-10 18:45:35,2023-09-13 17:45:35,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230945377575
T43471,2023-10-25 07:48:47,2023-10-26 17:48:47,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230226068492
T61315,2024-06-18 23:09:46,2024-06-21 06:09:46,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230663695123
T16391,2023-08-18 00:28:41,2023-08-19 21:28:41,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230660795550
T19462,2023-05-18 14:24:55,2023-05-18 20:24:55,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230935333762
T34129,2023-09-27 05:35:30,2023-09-28 14:35:30,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230407015189
T77274,2024-08-25 20:52:07,2024-08-28 05:52:07,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230747965604
T73030,2024-11-23 17:26:30,2024-11-25 03:26:30,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230590622845
T22765,2024-05-07 12:53:20,2024-05-08 20:53:20,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230200289727
T57996,2024-07-12 04:24:52,2024-07-12 12:24:52,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230429988720
T57600,2024-04-20 23:56:20,2024-04-22 11:56:20,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230483063262
T24969,2023-08-23 10:43:19,2023-08-25 13:43:19,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230198819986
T42792,2023-02-06 07:56:50,2023-02-06 18:56:50,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230584157454
T13311,2024-07-30 07:19:40,2024-07-31 13:19:40,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230488909528
T12536,2023-09-11 09:05:26,2023-09-14 05:05:26,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230367979227
T71275,2024-04-28 09:03:26,2024-04-28 18:03:26,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230636066934
T14392,2023-09-16 01:28:11,2023-09-16 18:28:11,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230901697602
T65542,2024-12-09 06:19:33,2024-12-12 03:19:33,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230501743542
T17436,2023-05-07 16:22:20,2023-05-08 21:22:20,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230296988060
T25206,2023-02-11 17:46:45,2023-02-13 09:46:45,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230262593890
T52024,2024-07-30 02:16:14,2024-07-30 21:16:14,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230935333762
T87653,2023-03-13 20:58:17,2023-03-15 18:58:17,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230364676464
T85982,2023-06-10 04:05:45,2023-06-11 21:05:45,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230460235560
T37003,2024-12-11 06:50:44,2024-12-12 06:50:44,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230999762562
T61973,2024-04-01 16:34:17,2024-04-02 07:34:17,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230280094327
T24687,2024-08-14 21:14:26,2024-08-17 04:14:26,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230491725711
T77896,2024-09-10 15:32:14,2024-09-11 20:32:14,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230181101498
T45931,2023-10-13 12:31:38,2023-10-16 03:31:38,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230224556190
T51919,2023-05-15 22:10:05,2023-05-16 12:10:05,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230677273280
T91527,2024-05-27 02:14:14,2024-05-28 04:14:14,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230262593890
T70949,2023-06-11 04:42:07,2023-06-13 03:42:07,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230859659207
T31803,2024-07-25 19:05:58,2024-07-28 05:05:58,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230798629373
T25025,2023-10-12 17:21:35,2023-10-12 18:21:35,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230553677954
T65907,2024-04-26 13:19:13,2024-04-27 15:19:13,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230949419871
T62574,2023-04-06 08:34:56,2023-04-07 11:34:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230525329325
T83193,2023-08-07 08:42:21,2023-08-08 07:42:21,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230874225782
T63637,2023-11-24 00:43:09,2023-11-26 02:43:09,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230216678436
T85663,2023-12-29 18:32:03,2023-12-31 20:32:03,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230942028822
T65080,2024-02-29 19:37:42,2024-02-29 22:37:42,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230175168797
T39927,2023-11-03 03:00:11,2023-11-03 15:00:11,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230135736693
T67784,2023-05-01 05:49:55,2023-05-03 10:49:55,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230913469186
T28981,2023-04-02 01:16:51,2023-04-04 11:16:51,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230218302795
T92880,2023-01-26 20:44:42,2023-01-28 00:44:42,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230628658338
T75252,2023-10-08 17:43:28,2023-10-11 17:43:28,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230951173620
T43771,2024-03-20 06:29:25,2024-03-22 11:29:25,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230578964248
T52105,2024-03-11 17:33:55,2024-03-12 10:33:55,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230174337699
T80119,2024-05-23 15:21:13,2024-05-24 12:21:13,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230788912728
T76364,2024-02-24 17:51:40,2024-02-27 17:51:40,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230929167854
T16815,2024-01-02 13:10:11,2024-01-03 21:10:11,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230998618451
T95906,2023-10-10 06:01:07,2023-10-10 11:01:07,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230705284347
T27727,2023-03-18 22:40:24,2023-03-19 12:40:24,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230223870632
T44947,2024-04-10 18:24:41,2024-04-11 14:24:41,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230747965604
T69087,2023-04-02 13:48:40,2023-04-03 11:48:40,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230692205256
T74040,2023-12-09 05:04:34,2023-12-11 18:04:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230627366212
T21737,2023-09-24 10:55:58,2023-09-27 02:55:58,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230488909528
T83688,2024-07-17 19:48:25,2024-07-19 09:48:25,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230174392318
T50743,2023-06-06 03:33:34,2023-06-06 21:33:34,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230975398588
T39350,2024-02-29 05:20:44,2024-03-02 10:20:44,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230553677954
T91575,2024-09-02 08:24:12,2024-09-04 23:24:12,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230224461766
T47682,2024-03-06 04:19:48,2024-03-08 20:19:48,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230549696488
T21533,2024-12-25 14:40:32,2024-12-28 13:40:32,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230639362130
T96462,2023-08-22 01:24:38,2023-08-24 23:24:38,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230797287920
T64125,2024-12-26 12:38:49,2024-12-27 19:38:49,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230986337820
T28739,2024-08-26 03:46:24,2024-08-26 12:46:24,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230980574168
T81443,2023-03-14 05:04:37,2023-03-14 15:04:37,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230408988930
T15832,2024-04-21 02:02:40,2024-04-21 14:02:40,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230368714655
T43955,2024-11-11 07:43:23,2024-11-13 05:43:23,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230751286997
T23741,2023-02-21 20:52:46,2023-02-23 01:52:46,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230859659207
T17130,2023-08-10 16:46:06,2023-08-11 13:46:06,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230445974479
T12521,2024-07-05 19:52:47,2024-07-07 00:52:47,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230854996962
T91328,2024-02-11 20:52:40,2024-02-12 17:52:40,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230613161747
T80608,2024-06-14 00:48:46,2024-06-15 22:48:46,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230737442961
T54924,2023-03-01 00:34:15,2023-03-01 11:34:15,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230469090751
T68043,2023-11-02 22:03:32,2023-11-05 11:03:32,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230927069977
T75931,2023-06-03 00:51:53,2023-06-03 11:51:53,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230521850876
T36567,2024-09-04 03:53:11,2024-09-07 00:53:11,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230181101498
T50435,2023-06-09 10:28:49,2023-06-12 08:28:49,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230600587929
T80922,2024-10-13 18:26:16,2024-10-15 06:26:16,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230164904391
T65362,2023-08-19 18:55:41,2023-08-22 10:55:41,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230553625236
T57181,2024-01-16 09:27:16,2024-01-16 15:27:16,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230750008450
T98427,2023-09-20 06:22:21,2023-09-20 19:22:21,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230445974479
T74739,2024-10-18 09:31:06,2024-10-19 06:31:06,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230174392318
T52209,2023-11-06 21:43:19,2023-11-08 23:43:19,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230289915767
T80739,2024-06-17 00:10:34,2024-06-19 20:10:34,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230817598215
T53052,2023-09-03 13:01:08,2023-09-05 20:01:08,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230353836706
T81822,2023-05-21 01:25:48,2023-05-23 06:25:48,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230901697602
T99937,2024-12-29 20:01:45,2024-12-31 10:01:45,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230865562600
T68815,2024-08-21 03:42:45,2024-08-23 02:42:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230636066934
T85074,2023-03-06 03:57:13,2023-03-06 20:57:13,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230175549082
T88880,2024-03-26 20:48:12,2024-03-27 23:48:12,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230759296495
T79770,2023-10-14 18:59:58,2023-10-17 06:59:58,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230428352927
T67049,2023-10-25 17:47:00,2023-10-28 04:47:00,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230865836147
T13408,2023-06-27 00:28:19,2023-06-29 12:28:19,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230478323663
T64902,2024-11-18 19:18:01,2024-11-20 03:18:01,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230691534638
T86407,2024-05-26 10:38:55,2024-05-26 19:38:55,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230935333762
T55048,2024-03-18 11:58:45,2024-03-19 21:58:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230277713469
T24960,2023-04-28 10:24:09,2023-04-28 17:24:09,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230627366212
T94799,2024-01-19 09:07:22,2024-01-19 18:07:22,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230799348185
T71793,2024-05-07 23:06:11,2024-05-10 15:06:11,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230364676464
T71968,2023-12-05 11:37:43,2023-12-08 03:37:43,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230569464483
T78334,2023-03-18 13:37:38,2023-03-19 17:37:38,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230627366212
T88231,2024-08-06 03:11:02,2024-08-08 09:11:02,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230338854256
T93792,2024-05-24 20:48:25,2024-05-26 22:48:25,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230493806941
T32228,2024-09-13 09:27:43,2024-09-15 00:27:43,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230649026167
T13411,2024-02-01 00:21:18,2024-02-03 20:21:18,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230615495383
T47560,2023-02-27 05:38:08,2023-03-01 22:38:08,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230423959650
T70348,2024-01-27 02:19:35,2024-01-29 22:19:35,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230629451290
T27397,2023-12-15 16:02:59,2023-12-17 22:02:59,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230458233434
T79844,2023-12-29 13:59:21,2024-01-01 07:59:21,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230958106815
T27401,2023-11-25 07:55:23,2023-11-25 15:55:23,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230310826483
T70771,2023-04-05 05:52:26,2023-04-05 14:52:26,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230965222030
T94588,2023-11-16 02:20:59,2023-11-16 12:20:59,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230530607842
T16556,2023-12-09 05:41:30,2023-12-11 04:41:30,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230854438776
T88888,2024-03-03 23:21:46,2024-03-04 12:21:46,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230395884015
T73435,2023-08-22 14:22:01,2023-08-23 08:22:01,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230489567018
T62307,2023-01-07 00:30:56,2023-01-09 09:30:56,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230877452953
T94248,2023-06-17 09:59:42,2023-06-18 18:59:42,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230703883514
T54013,2024-03-14 21:32:33,2024-03-17 04:32:33,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230615495383
T82725,2023-01-24 11:09:54,2023-01-27 05:09:54,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230678073159
T82967,2023-07-27 01:23:13,2023-07-28 14:23:13,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230460406713
T42827,2023-05-15 12:02:40,2023-05-18 07:02:40,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230257976986
T89782,2023-05-16 03:27:28,2023-05-17 04:27:28,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230808755530
T63270,2024-10-09 09:37:44,2024-10-09 17:37:44,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230130590594
T90799,2023-04-27 10:50:36,2023-04-30 09:50:36,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230740178078
T48582,2023-11-22 10:42:38,2023-11-22 23:42:38,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230621495764
T30992,2024-11-18 23:45:17,2024-11-21 14:45:17,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230276660407
T26199,2023-01-15 20:28:05,2023-01-16 15:28:05,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230712491291
T50824,2023-11-08 20:35:56,2023-11-09 15:35:56,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230793158951
T10403,2023-01-28 15:27:52,2023-01-30 08:27:52,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230951173620
T46895,2024-08-03 19:50:52,2024-08-06 05:50:52,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230284966704
T47129,2024-08-05 15:58:10,2024-08-08 11:58:10,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230781941999
T23586,2023-06-19 02:07:03,2023-06-21 22:07:03,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230783931863
T31251,2024-01-01 13:20:26,2024-01-03 04:20:26,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230823544998
T95414,2024-07-03 17:55:21,2024-07-06 05:55:21,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230363807566
T96878,2023-02-01 02:33:54,2023-02-02 14:33:54,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230237324066
T30413,2024-07-30 06:03:22,2024-07-31 11:03:22,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230377808000
T18471,2024-03-20 23:59:37,2024-03-22 11:59:37,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230377808000
T28709,2023-12-31 06:50:28,2024-01-01 02:50:28,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230233566905
T37066,2023-11-03 07:18:23,2023-11-05 07:18:23,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230676813795
T16804,2024-03-22 18:29:35,2024-03-24 23:29:35,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230533971297
T18453,2024-01-22 14:18:11,2024-01-22 21:18:11,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230293207299
T42492,2024-07-02 23:28:18,2024-07-05 08:28:18,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230649026167
T52007,2023-11-22 12:14:10,2023-11-24 15:14:10,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230461913145
T92372,2024-12-17 04:43:45,2024-12-19 14:43:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230901697602
